,Ano,Unidade da Federação,Categorias de doenças,Internações relacionadas a saneamento inadequado (a cada 100 mil)
83,,,Relacionadas com a higiene,0.0
84,,,Geo-helmintos e teníases,0.0
85,,Espírito Santo,De transmissão feco-oral,0.0
86,,,Tansmitidas por inseto vetor,0.0
87,,,Transmitidas através do contato com a água,0.0
88,,,Relacionadas com a higiene,0.0
89,,,Geo-helmintos e teníases,0.0
90,,Rio de Janeiro,De transmissão feco-oral,0.0
91,,,Tansmitidas por inseto vetor,0.0
92,,,Transmitidas através do contato com a água,0.0
93,,,Relacionadas com a higiene,0.0
94,,,Geo-helmintos e teníases,0.0
95,,São Paulo,De transmissão feco-oral,0.0
96,,,Tansmitidas por inseto vetor,0.0
97,,,Transmitidas através do contato com a água,0.0
98,,,Relacionadas com a higiene,0.0
99,,,Geo-helmintos e teníases,0.0
100,,Paraná,De transmissão feco-oral,0.0
101,,,Tansmitidas por inseto vetor,0.0
102,,,Transmitidas através do contato com a água,0.0
103,,,Relacionadas com a higiene,0.0
104,,,Geo-helmintos e teníases,0.0
105,,Santa Catarina,De transmissão feco-oral,0.0
106,,,Tansmitidas por inseto vetor,0.0
107,,,Transmitidas através do contato com a água,0.0
108,,,Relacionadas com a higiene,0.0
109,,,Geo-helmintos e teníases,0.0
110,,Rio Grande do Sul,De transmissão feco-oral,0.0
111,,,Tansmitidas por inseto vetor,0.0
112,,,Transmitidas através do contato com a água,0.0
113,,,Relacionadas com a higiene,0.0
114,,,Geo-helmintos e teníases,0.0
115,,Mato Grosso do Sul,De transmissão feco-oral,0.0
116,,,Tansmitidas por inseto vetor,0.0
117,,,Transmitidas através do contato com a água,0.0
118,,,Relacionadas com a higiene,0.0
119,,,Geo-helmintos e teníases,0.0
120,,Mato Grosso,De transmissão feco-oral,0.0
121,,,Tansmitidas por inseto vetor,0.0
122,,,Transmitidas através do contato com a água,0.0
123,,,Relacionadas com a higiene,0.0
124,,,Geo-helmintos e teníases,0.0
125,,Goiás,De transmissão feco-oral,0.0
126,,,Tansmitidas por inseto vetor,0.0
127,,,Transmitidas através do contato com a água,0.0
128,,,Relacionadas com a higiene,0.0
129,,,Geo-helmintos e teníases,0.0
130,,Distrito Federal,De transmissão feco-oral,0.0
131,,,Tansmitidas por inseto vetor,0.0
132,,,Transmitidas através do contato com a água,0.0
133,,,Relacionadas com a higiene,0.0
134,,,Geo-helmintos e teníases,0.0
135,2005.0,Rondônia,De transmissão feco-oral,0.0
136,,,Tansmitidas por inseto vetor,0.0
137,,,Transmitidas através do contato com a água,0.0
138,,,Relacionadas com a higiene,0.0
139,,,Geo-helmintos e teníases,0.0
140,,Acre,De transmissão feco-oral,0.0
141,,,Tansmitidas por inseto vetor,0.0
142,,,Transmitidas através do contato com a água,0.0
143,,,Relacionadas com a higiene,0.0
144,,,Geo-helmintos e teníases,0.0
145,,Amazonas,De transmissão feco-oral,0.0
146,,,Tansmitidas por inseto vetor,0.0
147,,,Transmitidas através do contato com a água,0.0
148,,,Relacionadas com a higiene,0.0
149,,,Geo-helmintos e teníases,0.0
150,,Roraima,De transmissão feco-oral,0.0
151,,,Tansmitidas por inseto vetor,0.0
152,,,Transmitidas através do contato com a água,0.0
153,,,Relacionadas com a higiene,0.0
154,,,Geo-helmintos e teníases,0.0
155,,Pará,De transmissão feco-oral,0.0
156,,,Tansmitidas por inseto vetor,0.0
157,,,Transmitidas através do contato com a água,0.0
158,,,Relacionadas com a higiene,0.0
159,,,Geo-helmintos e teníases,0.0
160,,Amapá,De transmissão feco-oral,0.0
161,,,Tansmitidas por inseto vetor,0.0
162,,,Transmitidas através do contato com a água,0.0
163,,,Relacionadas com a higiene,0.0
164,,,Geo-helmintos e teníases,0.0
165,,Tocantins,De transmissão feco-oral,0.0
166,,,Tansmitidas por inseto vetor,0.0
167,,,Transmitidas através do contato com a água,0.0
168,,,Relacionadas com a higiene,0.0
169,,,Geo-helmintos e teníases,0.0
170,,Maranhão,De transmissão feco-oral,0.0
171,,,Tansmitidas por inseto vetor,0.0
172,,,Transmitidas através do contato com a água,0.0
173,,,Relacionadas com a higiene,0.0
174,,,Geo-helmintos e teníases,0.0
175,,Piauí,De transmissão feco-oral,0.0
176,,,Tansmitidas por inseto vetor,0.0
177,,,Transmitidas através do contato com a água,0.0
178,,,Relacionadas com a higiene,0.0
179,,,Geo-helmintos e teníases,0.0
180,,Ceará,De transmissão feco-oral,0.0
181,,,Tansmitidas por inseto vetor,0.0
182,,,Transmitidas através do contato com a água,0.0
183,,,Relacionadas com a higiene,0.0
184,,,Geo-helmintos e teníases,0.0
185,,Rio Grande do Norte,De transmissão feco-oral,0.0
186,,,Tansmitidas por inseto vetor,0.0
187,,,Transmitidas através do contato com a água,0.0
188,,,Relacionadas com a higiene,0.0
189,,,Geo-helmintos e teníases,0.0
190,,Paraíba,De transmissão feco-oral,0.0
191,,,Tansmitidas por inseto vetor,0.0
192,,,Transmitidas através do contato com a água,0.0
193,,,Relacionadas com a higiene,0.0
194,,,Geo-helmintos e teníases,0.0
195,,Pernambuco,De transmissão feco-oral,0.0
196,,,Tansmitidas por inseto vetor,0.0
197,,,Transmitidas através do contato com a água,0.0
198,,,Relacionadas com a higiene,0.0
199,,,Geo-helmintos e teníases,0.0
200,,Alagoas,De transmissão feco-oral,0.0
201,,,Tansmitidas por inseto vetor,0.0
202,,,Transmitidas através do contato com a água,0.0
203,,,Relacionadas com a higiene,0.0
204,,,Geo-helmintos e teníases,0.0
205,,Sergipe,De transmissão feco-oral,0.0
206,,,Tansmitidas por inseto vetor,0.0
207,,,Transmitidas através do contato com a água,0.0
208,,,Relacionadas com a higiene,0.0
209,,,Geo-helmintos e teníases,0.0
210,,Bahia,De transmissão feco-oral,0.0
211,,,Tansmitidas por inseto vetor,0.0
212,,,Transmitidas através do contato com a água,0.0
213,,,Relacionadas com a higiene,0.0
214,,,Geo-helmintos e teníases,0.0
215,,Minas Gerais,De transmissão feco-oral,0.0
216,,,Tansmitidas por inseto vetor,0.0
217,,,Transmitidas através do contato com a água,0.0
218,,,Relacionadas com a higiene,0.0
219,,,Geo-helmintos e teníases,0.0
220,,Espírito Santo,De transmissão feco-oral,0.0
221,,,Tansmitidas por inseto vetor,0.0
222,,,Transmitidas através do contato com a água,0.0
223,,,Relacionadas com a higiene,0.0
224,,,Geo-helmintos e teníases,0.0
225,,Rio de Janeiro,De transmissão feco-oral,0.0
226,,,Tansmitidas por inseto vetor,0.0
227,,,Transmitidas através do contato com a água,0.0
228,,,Relacionadas com a higiene,0.0
229,,,Geo-helmintos e teníases,0.0
230,,São Paulo,De transmissão feco-oral,0.0
231,,,Tansmitidas por inseto vetor,0.0
232,,,Transmitidas através do contato com a água,0.0
233,,,Relacionadas com a higiene,0.0
234,,,Geo-helmintos e teníases,0.0
235,,Paraná,De transmissão feco-oral,0.0
236,,,Tansmitidas por inseto vetor,0.0
237,,,Transmitidas através do contato com a água,0.0
238,,,Relacionadas com a higiene,0.0
239,,,Geo-helmintos e teníases,0.0
240,,Santa Catarina,De transmissão feco-oral,0.0
241,,,Tansmitidas por inseto vetor,0.0
242,,,Transmitidas através do contato com a água,0.0
243,,,Relacionadas com a higiene,0.0
244,,,Geo-helmintos e teníases,0.0
245,,Rio Grande do Sul,De transmissão feco-oral,0.0
246,,,Tansmitidas por inseto vetor,0.0
247,,,Transmitidas através do contato com a água,0.0
248,,,Relacionadas com a higiene,0.0
249,,,Geo-helmintos e teníases,0.0
250,,Mato Grosso do Sul,De transmissão feco-oral,0.0
251,,,Tansmitidas por inseto vetor,0.0
252,,,Transmitidas através do contato com a água,0.0
253,,,Relacionadas com a higiene,0.0
254,,,Geo-helmintos e teníases,0.0
255,,Mato Grosso,De transmissão feco-oral,0.0
256,,,Tansmitidas por inseto vetor,0.0
257,,,Transmitidas através do contato com a água,0.0
258,,,Relacionadas com a higiene,0.0
259,,,Geo-helmintos e teníases,0.0
260,,Goiás,De transmissão feco-oral,0.0
261,,,Tansmitidas por inseto vetor,0.0
262,,,Transmitidas através do contato com a água,0.0
263,,,Relacionadas com a higiene,0.0
264,,,Geo-helmintos e teníases,0.0
265,,Distrito Federal,De transmissão feco-oral,0.0
266,,,Tansmitidas por inseto vetor,0.0
267,,,Transmitidas através do contato com a água,0.0
268,,,Relacionadas com a higiene,0.0
269,,,Geo-helmintos e teníases,0.0
270,2006.0,Rondônia,De transmissão feco-oral,0.0
271,,,Tansmitidas por inseto vetor,0.0
272,,,Transmitidas através do contato com a água,0.0
273,,,Relacionadas com a higiene,0.0
274,,,Geo-helmintos e teníases,0.0
275,,Acre,De transmissão feco-oral,0.0
276,,,Tansmitidas por inseto vetor,0.0
277,,,Transmitidas através do contato com a água,0.0
278,,,Relacionadas com a higiene,0.0
279,,,Geo-helmintos e teníases,0.0
280,,Amazonas,De transmissão feco-oral,0.0
281,,,Tansmitidas por inseto vetor,0.0
282,,,Transmitidas através do contato com a água,0.0
283,,,Relacionadas com a higiene,0.0
284,,,Geo-helmintos e teníases,0.0
285,,Roraima,De transmissão feco-oral,0.0
286,,,Tansmitidas por inseto vetor,0.0
287,,,Transmitidas através do contato com a água,0.0
288,,,Relacionadas com a higiene,0.0
289,,,Geo-helmintos e teníases,0.0
290,,Pará,De transmissão feco-oral,0.0
291,,,Tansmitidas por inseto vetor,0.0
292,,,Transmitidas através do contato com a água,0.0
293,,,Relacionadas com a higiene,0.0
294,,,Geo-helmintos e teníases,0.0
295,,Amapá,De transmissão feco-oral,0.0
296,,,Tansmitidas por inseto vetor,0.0
297,,,Transmitidas através do contato com a água,0.0
298,,,Relacionadas com a higiene,0.0
299,,,Geo-helmintos e teníases,0.0
300,,Tocantins,De transmissão feco-oral,0.0
301,,,Tansmitidas por inseto vetor,0.0
302,,,Transmitidas através do contato com a água,0.0
303,,,Relacionadas com a higiene,0.0
304,,,Geo-helmintos e teníases,0.0
305,,Maranhão,De transmissão feco-oral,0.0
306,,,Tansmitidas por inseto vetor,0.0
307,,,Transmitidas através do contato com a água,0.0
308,,,Relacionadas com a higiene,0.0
309,,,Geo-helmintos e teníases,0.0
310,,Piauí,De transmissão feco-oral,0.0
311,,,Tansmitidas por inseto vetor,0.0
312,,,Transmitidas através do contato com a água,0.0
313,,,Relacionadas com a higiene,0.0
314,,,Geo-helmintos e teníases,0.0
315,,Ceará,De transmissão feco-oral,0.0
316,,,Tansmitidas por inseto vetor,0.0
317,,,Transmitidas através do contato com a água,0.0
318,,,Relacionadas com a higiene,0.0
319,,,Geo-helmintos e teníases,0.0
320,,Rio Grande do Norte,De transmissão feco-oral,0.0
321,,,Tansmitidas por inseto vetor,0.0
322,,,Transmitidas através do contato com a água,0.0
323,,,Relacionadas com a higiene,0.0
324,,,Geo-helmintos e teníases,0.0
325,,Paraíba,De transmissão feco-oral,0.0
326,,,Tansmitidas por inseto vetor,0.0
327,,,Transmitidas através do contato com a água,0.0
328,,,Relacionadas com a higiene,0.0
329,,,Geo-helmintos e teníases,0.0
330,,Pernambuco,De transmissão feco-oral,0.0
331,,,Tansmitidas por inseto vetor,0.0
332,,,Transmitidas através do contato com a água,0.0
333,,,Relacionadas com a higiene,0.0
334,,,Geo-helmintos e teníases,0.0
335,,Alagoas,De transmissão feco-oral,0.0
336,,,Tansmitidas por inseto vetor,0.0
337,,,Transmitidas através do contato com a água,0.0
338,,,Relacionadas com a higiene,0.0
339,,,Geo-helmintos e teníases,0.0
340,,Sergipe,De transmissão feco-oral,0.0
341,,,Tansmitidas por inseto vetor,0.0
342,,,Transmitidas através do contato com a água,0.0
343,,,Relacionadas com a higiene,0.0
344,,,Geo-helmintos e teníases,0.0
345,,Bahia,De transmissão feco-oral,0.0
346,,,Tansmitidas por inseto vetor,0.0
347,,,Transmitidas através do contato com a água,0.0
348,,,Relacionadas com a higiene,0.0
349,,,Geo-helmintos e teníases,0.0
350,,Minas Gerais,De transmissão feco-oral,0.0
351,,,Tansmitidas por inseto vetor,0.0
352,,,Transmitidas através do contato com a água,0.0
353,,,Relacionadas com a higiene,0.0
354,,,Geo-helmintos e teníases,0.0
355,,Espírito Santo,De transmissão feco-oral,0.0
356,,,Tansmitidas por inseto vetor,0.0
357,,,Transmitidas através do contato com a água,0.0
358,,,Relacionadas com a higiene,0.0
359,,,Geo-helmintos e teníases,0.0
360,,Rio de Janeiro,De transmissão feco-oral,0.0
361,,,Tansmitidas por inseto vetor,0.0
362,,,Transmitidas através do contato com a água,0.0
363,,,Relacionadas com a higiene,0.0
364,,,Geo-helmintos e teníases,0.0
365,,São Paulo,De transmissão feco-oral,0.0
366,,,Tansmitidas por inseto vetor,0.0
367,,,Transmitidas através do contato com a água,0.0
368,,,Relacionadas com a higiene,0.0
369,,,Geo-helmintos e teníases,0.0
370,,Paraná,De transmissão feco-oral,0.0
371,,,Tansmitidas por inseto vetor,0.0
372,,,Transmitidas através do contato com a água,0.0
373,,,Relacionadas com a higiene,0.0
374,,,Geo-helmintos e teníases,0.0
375,,Santa Catarina,De transmissão feco-oral,0.0
376,,,Tansmitidas por inseto vetor,0.0
377,,,Transmitidas através do contato com a água,0.0
378,,,Relacionadas com a higiene,0.0
379,,,Geo-helmintos e teníases,0.0
380,,Rio Grande do Sul,De transmissão feco-oral,0.0
381,,,Tansmitidas por inseto vetor,0.0
382,,,Transmitidas através do contato com a água,0.0
383,,,Relacionadas com a higiene,0.0
384,,,Geo-helmintos e teníases,0.0
385,,Mato Grosso do Sul,De transmissão feco-oral,0.0
386,,,Tansmitidas por inseto vetor,0.0
387,,,Transmitidas através do contato com a água,0.0
388,,,Relacionadas com a higiene,0.0
389,,,Geo-helmintos e teníases,0.0
390,,Mato Grosso,De transmissão feco-oral,0.0
391,,,Tansmitidas por inseto vetor,0.0
392,,,Transmitidas através do contato com a água,0.0
393,,,Relacionadas com a higiene,0.0
394,,,Geo-helmintos e teníases,0.0
395,,Goiás,De transmissão feco-oral,0.0
396,,,Tansmitidas por inseto vetor,0.0
397,,,Transmitidas através do contato com a água,0.0
398,,,Relacionadas com a higiene,0.0
399,,,Geo-helmintos e teníases,0.0
400,,Distrito Federal,De transmissão feco-oral,0.0
401,,,Tansmitidas por inseto vetor,0.0
402,,,Transmitidas através do contato com a água,0.0
403,,,Relacionadas com a higiene,0.0
404,,,Geo-helmintos e teníases,0.0
405,2007.0,Rondônia,De transmissão feco-oral,0.0
406,,,Tansmitidas por inseto vetor,0.0
407,,,Transmitidas através do contato com a água,0.0
408,,,Relacionadas com a higiene,0.0
409,,,Geo-helmintos e teníases,0.0
410,,Acre,De transmissão feco-oral,0.0
411,,,Tansmitidas por inseto vetor,0.0
412,,,Transmitidas através do contato com a água,0.0
413,,,Relacionadas com a higiene,0.0
414,,,Geo-helmintos e teníases,0.0
415,,Amazonas,De transmissão feco-oral,0.0
416,,,Tansmitidas por inseto vetor,0.0
417,,,Transmitidas através do contato com a água,0.0
418,,,Relacionadas com a higiene,0.0
419,,,Geo-helmintos e teníases,0.0
420,,Roraima,De transmissão feco-oral,0.0
421,,,Tansmitidas por inseto vetor,0.0
422,,,Transmitidas através do contato com a água,0.0
423,,,Relacionadas com a higiene,0.0
424,,,Geo-helmintos e teníases,0.0
425,,Pará,De transmissão feco-oral,0.0
426,,,Tansmitidas por inseto vetor,0.0
427,,,Transmitidas através do contato com a água,0.0
428,,,Relacionadas com a higiene,0.0
429,,,Geo-helmintos e teníases,0.0
430,,Amapá,De transmissão feco-oral,0.0
431,,,Tansmitidas por inseto vetor,0.0
432,,,Transmitidas através do contato com a água,0.0
433,,,Relacionadas com a higiene,0.0
434,,,Geo-helmintos e teníases,0.0
435,,Tocantins,De transmissão feco-oral,0.0
436,,,Tansmitidas por inseto vetor,0.0
437,,,Transmitidas através do contato com a água,0.0
438,,,Relacionadas com a higiene,0.0
439,,,Geo-helmintos e teníases,0.0
440,,Maranhão,De transmissão feco-oral,0.0
441,,,Tansmitidas por inseto vetor,0.0
442,,,Transmitidas através do contato com a água,0.0
443,,,Relacionadas com a higiene,0.0
444,,,Geo-helmintos e teníases,0.0
445,,Piauí,De transmissão feco-oral,0.0
446,,,Tansmitidas por inseto vetor,0.0
447,,,Transmitidas através do contato com a água,0.0
448,,,Relacionadas com a higiene,0.0
449,,,Geo-helmintos e teníases,0.0
450,,Ceará,De transmissão feco-oral,0.0
451,,,Tansmitidas por inseto vetor,0.0
452,,,Transmitidas através do contato com a água,0.0
453,,,Relacionadas com a higiene,0.0
454,,,Geo-helmintos e teníases,0.0
455,,Rio Grande do Norte,De transmissão feco-oral,0.0
456,,,Tansmitidas por inseto vetor,0.0
457,,,Transmitidas através do contato com a água,0.0
458,,,Relacionadas com a higiene,0.0
459,,,Geo-helmintos e teníases,0.0
460,,Paraíba,De transmissão feco-oral,0.0
461,,,Tansmitidas por inseto vetor,0.0
462,,,Transmitidas através do contato com a água,0.0
463,,,Relacionadas com a higiene,0.0
464,,,Geo-helmintos e teníases,0.0
465,,Pernambuco,De transmissão feco-oral,0.0
466,,,Tansmitidas por inseto vetor,0.0
467,,,Transmitidas através do contato com a água,0.0
468,,,Relacionadas com a higiene,0.0
469,,,Geo-helmintos e teníases,0.0
470,,Alagoas,De transmissão feco-oral,0.0
471,,,Tansmitidas por inseto vetor,0.0
472,,,Transmitidas através do contato com a água,0.0
473,,,Relacionadas com a higiene,0.0
474,,,Geo-helmintos e teníases,0.0
475,,Sergipe,De transmissão feco-oral,0.0
476,,,Tansmitidas por inseto vetor,0.0
477,,,Transmitidas através do contato com a água,0.0
478,,,Relacionadas com a higiene,0.0
479,,,Geo-helmintos e teníases,0.0
480,,Bahia,De transmissão feco-oral,0.0
481,,,Tansmitidas por inseto vetor,0.0
482,,,Transmitidas através do contato com a água,0.0
483,,,Relacionadas com a higiene,0.0
484,,,Geo-helmintos e teníases,0.0
485,,Minas Gerais,De transmissão feco-oral,0.0
486,,,Tansmitidas por inseto vetor,0.0
487,,,Transmitidas através do contato com a água,0.0
488,,,Relacionadas com a higiene,0.0
489,,,Geo-helmintos e teníases,0.0
490,,Espírito Santo,De transmissão feco-oral,0.0
491,,,Tansmitidas por inseto vetor,0.0
492,,,Transmitidas através do contato com a água,0.0
493,,,Relacionadas com a higiene,0.0
494,,,Geo-helmintos e teníases,0.0
495,,Rio de Janeiro,De transmissão feco-oral,0.0
496,,,Tansmitidas por inseto vetor,0.0
497,,,Transmitidas através do contato com a água,0.0
498,,,Relacionadas com a higiene,0.0
499,,,Geo-helmintos e teníases,0.0
500,,São Paulo,De transmissão feco-oral,0.0
501,,,Tansmitidas por inseto vetor,0.0
502,,,Transmitidas através do contato com a água,0.0
503,,,Relacionadas com a higiene,0.0
504,,,Geo-helmintos e teníases,0.0
505,,Paraná,De transmissão feco-oral,0.0
506,,,Tansmitidas por inseto vetor,0.0
507,,,Transmitidas através do contato com a água,0.0
508,,,Relacionadas com a higiene,0.0
509,,,Geo-helmintos e teníases,0.0
510,,Santa Catarina,De transmissão feco-oral,0.0
511,,,Tansmitidas por inseto vetor,0.0
512,,,Transmitidas através do contato com a água,0.0
513,,,Relacionadas com a higiene,0.0
514,,,Geo-helmintos e teníases,0.0
515,,Rio Grande do Sul,De transmissão feco-oral,0.0
516,,,Tansmitidas por inseto vetor,0.0
517,,,Transmitidas através do contato com a água,0.0
518,,,Relacionadas com a higiene,0.0
519,,,Geo-helmintos e teníases,0.0
520,,Mato Grosso do Sul,De transmissão feco-oral,0.0
521,,,Tansmitidas por inseto vetor,0.0
522,,,Transmitidas através do contato com a água,0.0
523,,,Relacionadas com a higiene,0.0
524,,,Geo-helmintos e teníases,0.0
525,,Mato Grosso,De transmissão feco-oral,0.0
526,,,Tansmitidas por inseto vetor,0.0
527,,,Transmitidas através do contato com a água,0.0
528,,,Relacionadas com a higiene,0.0
529,,,Geo-helmintos e teníases,0.0
530,,Goiás,De transmissão feco-oral,0.0
531,,,Tansmitidas por inseto vetor,0.0
532,,,Transmitidas através do contato com a água,0.0
533,,,Relacionadas com a higiene,0.0
534,,,Geo-helmintos e teníases,0.0
535,,Distrito Federal,De transmissão feco-oral,0.0
536,,,Tansmitidas por inseto vetor,0.0
537,,,Transmitidas através do contato com a água,0.0
538,,,Relacionadas com a higiene,0.0
539,,,Geo-helmintos e teníases,0.0
540,2008.0,Rondônia,De transmissão feco-oral,385.7
541,,,Tansmitidas por inseto vetor,113.7
542,,,Transmitidas através do contato com a água,0.7
543,,,Relacionadas com a higiene,0.4
544,,,Geo-helmintos e teníases,0.6
545,,Acre,De transmissão feco-oral,361.7
546,,,Tansmitidas por inseto vetor,103.6
547,,,Transmitidas através do contato com a água,1.8
548,,,Relacionadas com a higiene,0.3
549,,,Geo-helmintos e teníases,0.4
550,,Amazonas,De transmissão feco-oral,187.4
551,,,Tansmitidas por inseto vetor,57.7
552,,,Transmitidas através do contato com a água,1.2
553,,,Relacionadas com a higiene,2.6
554,,,Geo-helmintos e teníases,0.9
555,,Roraima,De transmissão feco-oral,199.5
556,,,Tansmitidas por inseto vetor,280.6
557,,,Transmitidas através do contato com a água,0.2
558,,,Relacionadas com a higiene,0.2
559,,,Geo-helmintos e teníases,1.1
560,,Pará,De transmissão feco-oral,780.7
561,,,Tansmitidas por inseto vetor,130.9
562,,,Transmitidas através do contato com a água,1.8
563,,,Relacionadas com a higiene,0.4
564,,,Geo-helmintos e teníases,0.3
565,,Amapá,De transmissão feco-oral,165.5
566,,,Tansmitidas por inseto vetor,54.4
567,,,Transmitidas através do contato com a água,6.4
568,,,Relacionadas com a higiene,0.3
569,,,Geo-helmintos e teníases,0.2
570,,Tocantins,De transmissão feco-oral,383.6
571,,,Tansmitidas por inseto vetor,148.4
572,,,Transmitidas através do contato com a água,0.0
573,,,Relacionadas com a higiene,0.1
574,,,Geo-helmintos e teníases,0.1
575,,Maranhão,De transmissão feco-oral,593.2
576,,,Tansmitidas por inseto vetor,54.6
577,,,Transmitidas através do contato com a água,0.2
578,,,Relacionadas com a higiene,1.6
579,,,Geo-helmintos e teníases,0.2
580,,Piauí,De transmissão feco-oral,858.8
581,,,Tansmitidas por inseto vetor,66.8
582,,,Transmitidas através do contato com a água,0.0
583,,,Relacionadas com a higiene,0.9
584,,,Geo-helmintos e teníases,0.8
585,,Ceará,De transmissão feco-oral,341.8
586,,,Tansmitidas por inseto vetor,113.1
587,,,Transmitidas através do contato com a água,1.3
588,,,Relacionadas com a higiene,1.4
589,,,Geo-helmintos e teníases,0.8
590,,Rio Grande do Norte,De transmissão feco-oral,333.6
591,,,Tansmitidas por inseto vetor,136.7
592,,,Transmitidas através do contato com a água,0.7
593,,,Relacionadas com a higiene,0.8
594,,,Geo-helmintos e teníases,1.2
595,,Paraíba,De transmissão feco-oral,551.6
596,,,Tansmitidas por inseto vetor,71.9
597,,,Transmitidas através do contato com a água,1.0
598,,,Relacionadas com a higiene,0.2
599,,,Geo-helmintos e teníases,0.2
600,,Pernambuco,De transmissão feco-oral,230.2
601,,,Tansmitidas por inseto vetor,35.4
602,,,Transmitidas através do contato com a água,3.0
603,,,Relacionadas com a higiene,1.1
604,,,Geo-helmintos e teníases,0.4
605,,Alagoas,De transmissão feco-oral,440.5
606,,,Tansmitidas por inseto vetor,46.6
607,,,Transmitidas através do contato com a água,2.0
608,,,Relacionadas com a higiene,0.2
609,,,Geo-helmintos e teníases,0.5
610,,Sergipe,De transmissão feco-oral,165.1
611,,,Tansmitidas por inseto vetor,119.1
612,,,Transmitidas através do contato com a água,2.7
613,,,Relacionadas com a higiene,0.0
614,,,Geo-helmintos e teníases,0.7
615,,Bahia,De transmissão feco-oral,528.1
616,,,Tansmitidas por inseto vetor,53.4
617,,,Transmitidas através do contato com a água,1.4
618,,,Relacionadas com a higiene,1.2
619,,,Geo-helmintos e teníases,0.5
620,,Minas Gerais,De transmissão feco-oral,134.8
621,,,Tansmitidas por inseto vetor,17.3
622,,,Transmitidas através do contato com a água,0.5
623,,,Relacionadas com a higiene,0.2
624,,,Geo-helmintos e teníases,1.0
625,,Espírito Santo,De transmissão feco-oral,165.2
626,,,Tansmitidas por inseto vetor,51.0
